page_ascore;source_url;source_title;target_url;anchor;nofollow;first_seen;last_seen
10;https://yellow.co.nz/golflands/travel-agents-brokers;Best 22 Travel Agents & Brokers in Golflands | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1776076746;1776076746
10;https://yellow.co.nz/miramar/airlines;Best 30 Airlines in Miramar | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1776009011;1776009011
10;https://yellow.co.nz/mount-cook/airlines;Best 30 Airlines in Mount Cook | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1776463606;1776463606
10;https://yellow.co.nz/mount-roskill/travel-agents-brokers;Best 30 Travel Agents & Brokers in Mount Roskill | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1775988640;1775988640
10;https://yellow.co.nz/ohariu/travel-agents-brokers;Best 30 Travel Agents & Brokers in Ohariu | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1776084234;1776084234
10;https://yellow.co.nz/pipitea/airlines;Best 30 Airlines in Pipitea | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1777001838;1777001838
10;https://yellow.co.nz/takapuna/travel-agents-brokers;Best 30 Travel Agents & Brokers in Takapuna | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1775963191;1775963191
10;https://yellow.co.nz/tawa/airlines;Best 30 Airlines in Tawa | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1776219682;1776219682
10;https://yellow.co.nz/te-aro/travel-agents-brokers;Best 30 Travel Agents & Brokers in Te Aro | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1775952195;1775952195
10;https://yellow.co.nz/wellington-central/travel-agents-brokers;Best 30 Travel Agents & Brokers in Wellington Central | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1777013743;1777013743
10;https://yellow.co.nz/wellington-region/airlines;Best 30 Airlines in Wellington Region | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1775936053;1775936053
10;https://yellow.co.nz/west-auckland/travel-agents-brokers;Best 30 Travel Agents & Brokers in West Auckland | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1755359193;1776339086
10;https://yellow.co.nz/woodridge/airlines;Best 30 Airlines in Woodridge | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1776421495;1776421495
8;https://www.elsewhere.co.nz/travelstories/4969/kunming-china-the-pleasures-and-pitfalls-of-a-pipa/;Kunming, China: The pleasures and pitfalls of a pipa | Elsewhere by Graham Reid;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1728174575;1763265657
8;https://www.hotcity.co.nz/business-directory/firehorse-films-ltd;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1728280561;1776883961
7;https://www.hotcity.co.nz/business-directory;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726853522;1775896798
7;https://www.hotcity.co.nz/business-directory/100-fix;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727599739;1776860077
7;https://www.hotcity.co.nz/business-directory/90-seconds;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727330166;1776878024
7;https://www.hotcity.co.nz/business-directory/air-assurance-co;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726869957;1776929911
7;https://www.hotcity.co.nz/business-directory/altruist;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1729018525;1776890400
7;https://www.hotcity.co.nz/business-directory/apx-travel-management;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727335193;1776848476
7;https://www.hotcity.co.nz/business-directory/asg-scholarship-group-nz;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727559752;1776952556
7;https://www.hotcity.co.nz/business-directory/auckland-myopia-clinic-formerly-victoria-street-optometrists;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1753640272;1776565137
7;https://www.hotcity.co.nz/business-directory/bivouac-outdoor;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1733846579;1776841185
7;https://www.hotcity.co.nz/business-directory/body-shop;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1756830151;1776636759
7;https://www.hotcity.co.nz/business-directory/borne-electrical-limited;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727312444;1776839617
7;https://www.hotcity.co.nz/business-directory/caci-graham-st;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1754623697;1776949376
7;https://www.hotcity.co.nz/business-directory/cafe-midnight-express;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1756844739;1776847544
7;https://www.hotcity.co.nz/business-directory/celias-pies;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1728303144;1776890955
7;https://www.hotcity.co.nz/business-directory/copthorne-hotel-auckland-harbourcity;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726841309;1776010991
7;https://www.hotcity.co.nz/business-directory/corporate-mens-haircuts;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1733928646;1775916217
7;https://www.hotcity.co.nz/business-directory/country-collection;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1733590434;1776845819
7;https://www.hotcity.co.nz/business-directory/crave-dance-studio;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726903507;1776987183
7;https://www.hotcity.co.nz/business-directory/daiso-3-shop;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726840615;1776035058
7;https://www.hotcity.co.nz/business-directory/decjuba;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1753615887;1776448436
7;https://www.hotcity.co.nz/business-directory/dental-associates;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1754613667;1776031681
